Outer_fold,Feature,Coefficient
14,Schiller,0.20131955565832907
14,Citology,0.08063809754905565
14,hormonal_contraceptives_missing,-0.02559750822088219
15,STDs:syphilis,-0.011361519031558092
15,Dx:CIN,0.04675443493559306
15,Hinselmann,0.1290953332149526
15,Schiller,0.18703188181869845
15,Citology,0.06258774363934252
15,hormonal_contraceptives_missing,-0.026407671865724555
16,STDs:syphilis,-0.6235270433358271
16,Dx:CIN,0.49021400201113635
16,Hinselmann,0.24094286198067674
16,Schiller,1.3154608779835022
16,Citology,0.5146395729050769
16,hormonal_contraceptives_missing,-0.6489968913321881
17,STDs:syphilis,-0.009772645307284632
17,Dx:CIN,0.051818210250042636
17,Hinselmann,0.13297517571202983
17,Schiller,0.19217916987222464
17,Citology,0.06080866669846929
17,hormonal_contraceptives_missing,-0.025234900178934722
18,STDs:syphilis,-1.0212753394742846
18,Dx:CIN,0.4712293507337793
18,Hinselmann,0.3351339878546246
18,Schiller,1.475175461708766
18,Citology,0.6741440865009294
18,hormonal_contraceptives_missing,-1.252313743892421
19,STDs:syphilis,-0.011592102368541059
19,Dx:CIN,0.02267746768961869
19,Hinselmann,0.1233333329175392
19,Schiller,0.19026797393278
19,Citology,0.08223788898641661
19,hormonal_contraceptives_missing,-0.025713244912972465
20,STDs:syphilis,-0.0481215353654733
20,Dx:CIN,0.21602735556488883
20,Hinselmann,0.23194925978476852
20,Schiller,0.6347031479976889
20,Citology,0.14929119856681247
20,hormonal_contraceptives_missing,-0.08734455963919517
21,STDs:syphilis,-1.0608593559759503
21,Dx:CIN,0.5617489085798997
21,Hinselmann,0.2587092439574706
21,Schiller,1.7028551345943537
21,Citology,0.1379204374634358
21,hormonal_contraceptives_missing,-0.9257321708671722
22,STDs:syphilis,-0.9326019433633785
22,Dx:CIN,0.5250859448353608
22,Hinselmann,0.14994164889991562
22,Schiller,1.3695304282740701
22,Citology,0.5122723578805085
22,hormonal_contraceptives_missing,-1.4432208774716218
23,STDs:syphilis,-0.029762756594628938
23,Dx:CIN,0.2165148513654142
23,Hinselmann,0.25166237142991726
23,Schiller,0.5918241972272824
23,Citology,0.21500680408044714
23,hormonal_contraceptives_missing,-0.08869122279697031
24,STDs:syphilis,-0.010549864542872394
24,Dx:CIN,0.02324399224280816
24,Hinselmann,0.13511396167058196
24,Schiller,0.19153573078125133
24,Citology,0.08470618055140704
24,hormonal_contraceptives_missing,-0.024994845149829727
25,STDs:syphilis,-0.011215957835003598
25,Dx:CIN,0.027423851662956907
25,Hinselmann,0.13114518698568203
25,Schiller,0.1859422013190636
25,Citology,0.07531058731770508
25,hormonal_contraceptives_missing,-0.025709398526419996
